parkID,parkName,lat,lng,capacity,emptyCapacity,workHours,parkType,freeTime,district,isOpen
1475,Fatih Katlı Otoparkı,41.0197,28.9397,118,0,24 Saat,KAPALI OTOPARK,10,FATİH,1
2393,Fatih Kütüphane Açık Otoparkı 2,41.0167,28.9494,35,32,08:30-18:00,AÇIK OTOPARK,0,FATİH,0
2298,Fatih Mütercim Asım Caddesi 1,41.022,28.9443,45,24,09:00-18:00,YOL ÜSTÜ,15,FATİH,0
1574,Fatih Su Yolu Sokak 1,41.0162,28.9541,40,40,10:00-21:30,YOL ÜSTÜ,0,FATİH,0
1576,Fatih Su Yolu Sokak 3,41.0169,28.9536,40,40,10:00-21:30,YOL ÜSTÜ,0,FATİH,0
1598,Fatih Uzunçarşı Caddesi 1,41.0154,28.9675,30,30,07:00-18:00,YOL ÜSTÜ,0,FATİH,0
1591,Feshane P+R Açık Otoparkı,41.0458,28.9375,200,106,24 Saat,AÇIK OTOPARK,15,EYÜP,1
717,Fevzipaşa Caddesi 10,41.0188,28.9482,30,6,08:30-17:30,YOL ÜSTÜ,15,FATİH,0
719,Fevzipaşa Caddesi 12,41.02,28.9473,30,11,08:30-17:30,YOL ÜSTÜ,15,FATİH,0
722,Fevzipaşa Caddesi 15,41.0208,28.9463,30,19,08:30-17:30,YOL ÜSTÜ,15,FATİH,0
724,Fevzipaşa Caddesi 17,41.0217,28.9453,30,30,08:30-17:30,YOL ÜSTÜ,15,FATİH,0
725,Fevzipaşa Caddesi 18,41.0227,28.9442,30,18,08:30-17:30,YOL ÜSTÜ,15,FATİH,0
709,Fevzipaşa Caddesi 2,41.0161,28.9515,25,16,08:30-17:30,YOL ÜSTÜ,15,FATİH,0
711,Fevzipaşa Caddesi 4,41.0166,28.9507,26,15,08:30-17:30,YOL ÜSTÜ,15,FATİH,0
715,Fevzipaşa Caddesi 8,41.0178,28.9493,17,10,08:30-17:30,YOL ÜSTÜ,15,FATİH,0
716,Fevzipaşa Caddesi 9,41.0182,28.9489,30,30,08:30-17:30,YOL ÜSTÜ,15,FATİH,0
1005,Florya Havuzlu Bahçe,40.9764,28.7908,135,135,08:00-18:00,AÇIK OTOPARK,0,BAKIRKÖY,0
2238,Florya Sosyal Tesisleri,40.9617,28.8092,1074,1047,24 Saat,AÇIK OTOPARK,15,BAKIRKÖY,1
